precinct,year,race,party,candidate,votes
New Castle 1-1,2024,PRESIDENTIAL ELECTORS,DEM,"KAMALA D HARRIS, PRESIDENT",151
New Castle 1-1,2024,PRESIDENTIAL ELECTORS,REP,"DONALD J TRUMP, PRESIDENT",120
New Castle 1-1,2024,PRESIDENTIAL ELECTORS,LIB,"CHASE OLIVER, PRESIDENT",2
New Castle 1-1,2024,PRESIDENTIAL ELECTORS,GRN,"JILL STEIN, PRESIDENT",1
New Castle 1-1,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,151
New Castle 1-1,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,107
New Castle 1-1,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,6
New Castle 1-1,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,4
New Castle 1-1,2024,UNITED STATES SENATOR,CST,MARTY SELKER,1
New Castle 1-1,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,146
New Castle 1-1,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,108
New Castle 1-1,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,7
New Castle 1-1,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,4
New Castle 1-1,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,4
New Castle 1-1,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,144
New Castle 1-1,2024,AUDITOR GENERAL,REP,TIM DEFOOR,111
New Castle 1-1,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,4
New Castle 1-1,2024,AUDITOR GENERAL,CST,BOB GOODRICH,4
New Castle 1-1,2024,AUDITOR GENERAL,LIB,REECE SMITH,3
New Castle 1-1,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,143
New Castle 1-1,2024,STATE TREASURER,REP,STACY GARRITY,108
New Castle 1-1,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,5
New Castle 1-1,2024,STATE TREASURER,CST,TROY BOWMAN,5
New Castle 1-1,2024,STATE TREASURER,FWD,CHRIS FOSTER,5
New Castle 1-1,2024,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,DEM,PRESTON NOURI,140
New Castle 1-1,2024,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,REP,MIKE KELLY,124
New Castle 1-1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 9TH DISTRICT,REP,MARLA BROWN,178
New Castle 1-1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 9TH DISTRICT,Write-In,Scattered,21
New Castle 1-2,2024,Presidential Electors,DEM,KAMALA D HARRIS,208
New Castle 1-2,2024,Presidential Electors,REP,DONALD J TRUMP,190
New Castle 1-2,2024,Presidential Electors,GRN,JILL STEIN,2
New Castle 1-2,2024,Presidential Electors,LIB,CHASE OLIVER,1
New Castle 1-2,2024,United States Senator,DEM,ROBERT P CASEY JR,215
New Castle 1-2,2024,United States Senator,REP,DAVE MCCORMICK,167
New Castle 1-2,2024,United States Senator,LIB,JOHN C THOMAS,7
New Castle 1-2,2024,United States Senator,GRN,LEILA HAZOU,4
New Castle 1-2,2024,United States Senator,CST,MARTY SELKER,2
New Castle 1-2,2024,Attorney General,DEM,EUGENE DEPASQUALE,205
New Castle 1-2,2024,Attorney General,REP,DAVE SUNDAY,173
New Castle 1-2,2024,Attorney General,GRN,RICHARD L WEISS,7
New Castle 1-2,2024,Attorney General,LIB,ROBERT COWBURN,6
New Castle 1-2,2024,Attorney General,FWD,ERIC L SETTLE,1
New Castle 1-2,2024,Auditor General,DEM,MALCOLM KENYATTA,196
New Castle 1-2,2024,Auditor General,REP,TIM DEFOOR,177
New Castle 1-2,2024,Auditor General,LIB,REECE SMITH,7
New Castle 1-2,2024,Auditor General,CST,BOB GOODRICH,5
New Castle 1-2,2024,Auditor General,ASP,ERIC K ANTON,2
New Castle 1-2,2024,State Treasurer,DEM,ERIN MCCLELLAND,197
New Castle 1-2,2024,State Treasurer,REP,STACY GARRITY,185
New Castle 1-2,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,4
New Castle 1-2,2024,State Treasurer,CST,TROY BOWMAN,2
New Castle 1-2,2024,State Treasurer,FWD,CHRIS FOSTER,1
New Castle 1-2,2024,Representative in Congress 16th District,REP,MIKE KELLY,199
New Castle 1-2,2024,Representative in Congress 16th District,DEM,PRESTON NOURI,192
New Castle 1-2,2024,Representative in the General Assembly 9th District,REP,MARLA BROWN,289
New Castle 1-2,2024,Representative in the General Assembly 9th District,Write-In,Write-In: Scattered,17
New Castle 2-1,2024,Presidential Electors,DEM,"Kamala D Harris, President",279
New Castle 2-1,2024,Presidential Electors,REP,"Donald J Trump, President",195
New Castle 2-1,2024,Presidential Electors,GRN,"Jill Stein, President",7
New Castle 2-1,2024,Presidential Electors,LIB,"Chase Oliver, President",1
New Castle 2-1,2024,Presidential Electors,Write-In,Write-In: Scattered,0
New Castle 2-1,2024,United States Senator,DEM,Robert P Casey Jr,274
New Castle 2-1,2024,United States Senator,REP,Dave McCormick,189
New Castle 2-1,2024,United States Senator,LIB,John C Thomas,6
New Castle 2-1,2024,United States Senator,GRN,Leila Hazou,6
New Castle 2-1,2024,United States Senator,CST,Marty Selker,2
New Castle 2-1,2024,United States Senator,Write-In,Write-In: Scattered,0
New Castle 2-1,2024,Attorney General,DEM,Eugene DePasquale,272
New Castle 2-1,2024,Attorney General,REP,Dave Sunday,185
New Castle 2-1,2024,Attorney General,LIB,Robert Cowburn,9
New Castle 2-1,2024,Attorney General,CST,Justin L Magill,3
New Castle 2-1,2024,Attorney General,GRN,Richard L Weiss,2
New Castle 2-1,2024,Attorney General,FWD,Eric L Settle,1
New Castle 2-1,2024,Attorney General,Write-In,Write-In: Scattered,1
New Castle 2-1,2024,Auditor General,DEM,Malcolm Kenyatta,275
New Castle 2-1,2024,Auditor General,REP,Tim DeFoor,172
New Castle 2-1,2024,Auditor General,LIB,Reece Smith,10
New Castle 2-1,2024,Auditor General,CST,Bob Goodrich,10
New Castle 2-1,2024,Auditor General,ASP,Eric K Anton,2
New Castle 2-1,2024,Auditor General,Write-In,Write-In: Scattered,2
New Castle 2-1,2024,State Treasurer,DEM,Erin McClelland,264
New Castle 2-1,2024,State Treasurer,REP,Stacy Garrity,194
New Castle 2-1,2024,State Treasurer,CST,Troy Bowman,6
New Castle 2-1,2024,State Treasurer,LIB,Nickolas Ciesielski,5
New Castle 2-1,2024,State Treasurer,FWD,Chris Foster,5
New Castle 2-1,2024,State Treasurer,Write-In,Write-In: Scattered,1
New Castle 2-1,2024,Representative in Congress 16th District,DEM,Preston Nouri,273
New Castle 2-1,2024,Representative in Congress 16th District,REP,Mike Kelly,203
New Castle 2-1,2024,Representative in Congress 16th District,Write-In,Write-In: Scattered,0
New Castle 2-1,2024,Representative in the General Assembly 9th District,REP,Marla Brown,339
New Castle 2-1,2024,Representative in the General Assembly 9th District,Write-In,Write-In: Scattered,48
New Castle 2-2,2024,PRESIDENTIAL ELECTORS,DEM,"KAMALA D HARRIS, PRESIDENT",305
New Castle 2-2,2024,PRESIDENTIAL ELECTORS,REP,"DONALD J TRUMP, PRESIDENT",304
New Castle 2-2,2024,PRESIDENTIAL ELECTORS,GRN,"JILL STEIN, PRESIDENT",2
New Castle 2-2,2024,PRESIDENTIAL ELECTORS,LIB,"CHASE OLIVER, PRESIDENT",0
New Castle 2-2,2024,PRESIDENTIAL ELECTORS,Write-In Totals,Scattered,5
New Castle 2-2,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,303
New Castle 2-2,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,295
New Castle 2-2,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,6
New Castle 2-2,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,5
New Castle 2-2,2024,UNITED STATES SENATOR,CST,MARTY SELKER,2
New Castle 2-2,2024,UNITED STATES SENATOR,Write-In Totals,Scattered,1
New Castle 2-2,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,297
New Castle 2-2,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,293
New Castle 2-2,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,9
New Castle 2-2,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,6
New Castle 2-2,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,2
New Castle 2-2,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,1
New Castle 2-2,2024,ATTORNEY GENERAL,Write-In Totals,Scattered,1
New Castle 2-2,2024,AUDITOR GENERAL,REP,TIM DEFOOR,296
New Castle 2-2,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,287
New Castle 2-2,2024,AUDITOR GENERAL,LIB,REECE SMITH,10
New Castle 2-2,2024,AUDITOR GENERAL,CST,BOB GOODRICH,6
New Castle 2-2,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,3
New Castle 2-2,2024,AUDITOR GENERAL,Write-In Totals,Scattered,2
New Castle 2-2,2024,STATE TREASURER,REP,STACY GARRITY,297
New Castle 2-2,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,291
New Castle 2-2,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,8
New Castle 2-2,2024,STATE TREASURER,CST,TROY BOWMAN,5
New Castle 2-2,2024,STATE TREASURER,FWD,CHRIS FOSTER,4
New Castle 2-2,2024,STATE TREASURER,Write-In Totals,Scattered,2
New Castle 2-2,2024,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,REP,MIKE KELLY,319
New Castle 2-2,2024,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,DEM,PRESTON NOURI,288
New Castle 2-2,2024,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,Write-In Totals,Scattered,3
New Castle 2-2,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 9TH DISTRICT,REP,MARLA BROWN,426
New Castle 2-2,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 9TH DISTRICT,Write-In Totals,Scattered,58
New Castle 2-3,2024,Presidential Electors,REP,Donald J Trump,310
New Castle 2-3,2024,Presidential Electors,DEM,Kamala D Harris,303
New Castle 2-3,2024,Presidential Electors,LIB,Chase Oliver,1
New Castle 2-3,2024,Presidential Electors,GRN,Jill Stein,1
New Castle 2-3,2024,Presidential Electors,Write-In,Scattered,7
New Castle 2-3,2024,United States Senator,DEM,Robert P Casey Jr,309
New Castle 2-3,2024,United States Senator,REP,Dave McCormick,295
New Castle 2-3,2024,United States Senator,LIB,John C Thomas,11
New Castle 2-3,2024,United States Senator,GRN,Leila Hazou,2
New Castle 2-3,2024,United States Senator,Write-In,Scattered,1
New Castle 2-3,2024,Attorney General,DEM,Eugene DePasquale,299
New Castle 2-3,2024,Attorney General,REP,Dave Sunday,290
New Castle 2-3,2024,Attorney General,LIB,Robert Cowburn,9
New Castle 2-3,2024,Attorney General,CST,Justin L Magill,3
New Castle 2-3,2024,Attorney General,GRN,Richard L Weiss,2
New Castle 2-3,2024,Attorney General,FWD,Eric L Settle,2
New Castle 2-3,2024,Attorney General,Write-In,Scattered,4
New Castle 2-3,2024,Auditor General,REP,Tim DeFoor,291
New Castle 2-3,2024,Auditor General,DEM,Malcolm Kenyatta,289
New Castle 2-3,2024,Auditor General,ASP,Eric K Anton,10
New Castle 2-3,2024,Auditor General,LIB,Reece Smith,7
New Castle 2-3,2024,Auditor General,CST,Bob Goodrich,2
New Castle 2-3,2024,Auditor General,Write-In,Scattered,3
New Castle 2-3,2024,State Treasurer,DEM,Erin McClelland,294
New Castle 2-3,2024,State Treasurer,REP,Stacy Garrity,292
New Castle 2-3,2024,State Treasurer,LIB,Nickolas Ciesielski,7
New Castle 2-3,2024,State Treasurer,CST,Troy Bowman,5
New Castle 2-3,2024,State Treasurer,FWD,Chris Foster,2
New Castle 2-3,2024,State Treasurer,Write-In,Scattered,2
New Castle 2-3,2024,Representative in Congress 16th District,REP,Mike Kelly,316
New Castle 2-3,2024,Representative in Congress 16th District,DEM,Preston Nouri,292
New Castle 2-3,2024,Representative in Congress 16th District,Write-In,Scattered,4
New Castle 2-3,2024,Representative in the General Assembly 9th District,REP,Marla Brown,444
New Castle 2-3,2024,Representative in the General Assembly 9th District,Write-In,Scattered,48
New Castle 2-4,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,369
New Castle 2-4,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,272
New Castle 2-4,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,2
New Castle 2-4,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,1
New Castle 2-4,2024,PRESIDENTIAL ELECTORS,Write-In,Scattered,2
New Castle 2-4,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,335
New Castle 2-4,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,280
New Castle 2-4,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,9
New Castle 2-4,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,8
New Castle 2-4,2024,UNITED STATES SENATOR,CST,MARTY SELKER,5
New Castle 2-4,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,327
New Castle 2-4,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,280
New Castle 2-4,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,8
New Castle 2-4,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,7
New Castle 2-4,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,6
New Castle 2-4,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,3
New Castle 2-4,2024,AUDITOR GENERAL,REP,TIM DEFOOR,323
New Castle 2-4,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,266
New Castle 2-4,2024,AUDITOR GENERAL,LIB,REECE SMITH,13
New Castle 2-4,2024,AUDITOR GENERAL,CST,BOB GOODRICH,9
New Castle 2-4,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,6
New Castle 2-4,2024,STATE TREASURER,REP,STACY GARRITY,336
New Castle 2-4,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,275
New Castle 2-4,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,10
New Castle 2-4,2024,STATE TREASURER,CST,TROY BOWMAN,5
New Castle 2-4,2024,STATE TREASURER,FWD,CHRIS FOSTER,3
New Castle 2-4,2024,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,REP,MIKE KELLY,362
New Castle 2-4,2024,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,DEM,PRESTON NOURI,263
New Castle 2-4,2024,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,Write-In,Scattered,2
New Castle 2-4,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 9TH DISTRICT,REP,MARLA BROWN,480
New Castle 2-4,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 9TH DISTRICT,Write-In,Scattered,37
New Castle 2-5,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,491
New Castle 2-5,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,380
New Castle 2-5,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,5
New Castle 2-5,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,3
New Castle 2-5,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,456
New Castle 2-5,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,394
New Castle 2-5,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,11
New Castle 2-5,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,8
New Castle 2-5,2024,UNITED STATES SENATOR,CST,MARTY SELKER,6
New Castle 2-5,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,455
New Castle 2-5,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,384
New Castle 2-5,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,10
New Castle 2-5,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,7
New Castle 2-5,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,6
New Castle 2-5,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,2
New Castle 2-5,2024,AUDITOR GENERAL,REP,TIM DEFOOR,467
New Castle 2-5,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,370
New Castle 2-5,2024,AUDITOR GENERAL,LIB,REECE SMITH,14
New Castle 2-5,2024,AUDITOR GENERAL,CST,BOB GOODRICH,9
New Castle 2-5,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,2
New Castle 2-5,2024,STATE TREASURER,REP,STACY GARRITY,463
New Castle 2-5,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,374
New Castle 2-5,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,11
New Castle 2-5,2024,STATE TREASURER,CST,TROY BOWMAN,9
New Castle 2-5,2024,STATE TREASURER,FWD,CHRIS FOSTER,6
New Castle 2-5,2024,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,REP,MIKE KELLY,497
New Castle 2-5,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 9TH DISTRICT,REP,MARLA BROWN,659
New Castle 3-1,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,222
New Castle 3-1,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,168
New Castle 3-1,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,6
New Castle 3-1,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,3
New Castle 3-1,2024,PRESIDENTIAL ELECTORS,Write-In,Write-In: Scattered,1
New Castle 3-1,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,191
New Castle 3-1,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,179
New Castle 3-1,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,10
New Castle 3-1,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,9
New Castle 3-1,2024,UNITED STATES SENATOR,CST,MARTY SELKER,4
New Castle 3-1,2024,UNITED STATES SENATOR,Write-In,Write-In: Scattered,1
New Castle 3-1,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,193
New Castle 3-1,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,177
New Castle 3-1,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,8
New Castle 3-1,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,7
New Castle 3-1,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,3
New Castle 3-1,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,3
New Castle 3-1,2024,ATTORNEY GENERAL,Write-In,Write-In: Scattered,1
New Castle 3-1,2024,AUDITOR GENERAL,REP,TIM DEFOOR,198
New Castle 3-1,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,168
New Castle 3-1,2024,AUDITOR GENERAL,LIB,REECE SMITH,9
New Castle 3-1,2024,AUDITOR GENERAL,CST,BOB GOODRICH,9
New Castle 3-1,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,2
New Castle 3-1,2024,AUDITOR GENERAL,Write-In,Write-In: Scattered,2
New Castle 3-1,2024,STATE TREASURER,REP,STACY GARRITY,199
New Castle 3-1,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,174
New Castle 3-1,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,6
New Castle 3-1,2024,STATE TREASURER,CST,TROY BOWMAN,5
New Castle 3-1,2024,STATE TREASURER,FWD,CHRIS FOSTER,4
New Castle 3-1,2024,STATE TREASURER,Write-In,Write-In: Scattered,1
New Castle 3-1,2024,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,REP,MIKE KELLY,224
New Castle 3-1,2024,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,DEM,PRESTON NOURI,160
New Castle 3-1,2024,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,Write-In,Write-In: Scattered,2
New Castle 3-1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 9TH DISTRICT,REP,MARLA BROWN,303
New Castle 3-1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 9TH DISTRICT,Write-In,Write-In: Scattered,19
New Castle 3-2,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,268
New Castle 3-2,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,223
New Castle 3-2,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,2
New Castle 3-2,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,1
New Castle 3-2,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,234
New Castle 3-2,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,231
New Castle 3-2,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,15
New Castle 3-2,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,2
New Castle 3-2,2024,UNITED STATES SENATOR,CST,MARTY SELKER,1
New Castle 3-2,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,238
New Castle 3-2,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,232
New Castle 3-2,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,10
New Castle 3-2,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,2
New Castle 3-2,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,2
New Castle 3-2,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,1
New Castle 3-2,2024,AUDITOR GENERAL,REP,TIM DEFOOR,236
New Castle 3-2,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,222
New Castle 3-2,2024,AUDITOR GENERAL,LIB,REECE SMITH,9
New Castle 3-2,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,4
New Castle 3-2,2024,AUDITOR GENERAL,CST,BOB GOODRICH,4
New Castle 3-2,2024,STATE TREASURER,REP,STACY GARRITY,237
New Castle 3-2,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,224
New Castle 3-2,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,8
New Castle 3-2,2024,STATE TREASURER,CST,TROY BOWMAN,4
New Castle 3-2,2024,STATE TREASURER,FWD,CHRIS FOSTER,4
New Castle 3-2,2024,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,REP,MIKE KELLY,263
New Castle 3-2,2024,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,DEM,PRESTON NOURI,218
New Castle 3-2,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 9TH DISTRICT,REP,MARLA BROWN,377
New Castle 3-2,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 9TH DISTRICT,Write-In,Scattered,35
New Castle 4-1,2024,Presidential Electors,DEM,Kamala D Harris,268
New Castle 4-1,2024,Presidential Electors,REP,Donald J Trump,234
New Castle 4-1,2024,Presidential Electors,LIB,Chase Oliver,1
New Castle 4-1,2024,Presidential Electors,GRN,Jill Stein,1
New Castle 4-1,2024,Presidential Electors,Write-In,Scattered,2
New Castle 4-1,2024,United States Senator,DEM,Robert P Casey Jr,266
New Castle 4-1,2024,United States Senator,REP,Dave McCormick,216
New Castle 4-1,2024,United States Senator,LIB,John C Thomas,11
New Castle 4-1,2024,United States Senator,GRN,Leila Hazou,3
New Castle 4-1,2024,United States Senator,CST,Marty Selker,3
New Castle 4-1,2024,Attorney General,DEM,Eugene DePasquale,274
New Castle 4-1,2024,Attorney General,REP,Dave Sunday,205
New Castle 4-1,2024,Attorney General,LIB,Robert Cowburn,7
New Castle 4-1,2024,Attorney General,CST,Justin L Magill,6
New Castle 4-1,2024,Attorney General,GRN,Richard L Weiss,2
New Castle 4-1,2024,Attorney General,FWD,Eric L Settle,2
New Castle 4-1,2024,Auditor General,DEM,Malcolm Kenyatta,258
New Castle 4-1,2024,Auditor General,REP,Tim DeFoor,210
New Castle 4-1,2024,Auditor General,LIB,Reece Smith,13
New Castle 4-1,2024,Auditor General,CST,Bob Goodrich,7
New Castle 4-1,2024,Auditor General,ASP,Eric K Anton,5
New Castle 4-1,2024,State Treasurer,DEM,Erin McClelland,255
New Castle 4-1,2024,State Treasurer,REP,Stacy Garrity,214
New Castle 4-1,2024,State Treasurer,CST,Troy Bowman,10
New Castle 4-1,2024,State Treasurer,LIB,Nickolas Ciesielski,9
New Castle 4-1,2024,State Treasurer,FWD,Chris Foster,5
New Castle 4-1,2024,State Treasurer,Write-In,Scattered,1
New Castle 4-1,2024,Representative in Congress 16th District,DEM,Preston Nouri,251
New Castle 4-1,2024,Representative in Congress 16th District,REP,Mike Kelly,244
New Castle 4-1,2024,Representative in the General Assembly 9th District,REP,Marla Brown,387
New Castle 4-1,2024,Representative in the General Assembly 9th District,Write-In,Scattered,35
New Castle 4-2,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,366
New Castle 4-2,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,288
New Castle 4-2,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,2
New Castle 4-2,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,0
New Castle 4-2,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,318
New Castle 4-2,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,299
New Castle 4-2,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,14
New Castle 4-2,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,8
New Castle 4-2,2024,UNITED STATES SENATOR,CST,MARTY SELKER,8
New Castle 4-2,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,308
New Castle 4-2,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,293
New Castle 4-2,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,19
New Castle 4-2,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,8
New Castle 4-2,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,6
New Castle 4-2,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,5
New Castle 4-2,2024,AUDITOR GENERAL,REP,TIM DEFOOR,328
New Castle 4-2,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,280
New Castle 4-2,2024,AUDITOR GENERAL,LIB,REECE SMITH,12
New Castle 4-2,2024,AUDITOR GENERAL,CST,BOB GOODRICH,11
New Castle 4-2,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,2
New Castle 4-2,2024,STATE TREASURER,REP,STACY GARRITY,320
New Castle 4-2,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,283
New Castle 4-2,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,18
New Castle 4-2,2024,STATE TREASURER,CST,TROY BOWMAN,6
New Castle 4-2,2024,STATE TREASURER,FWD,CHRIS FOSTER,6
New Castle 4-2,2024,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,REP,MIKE KELLY,365
New Castle 4-2,2024,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,DEM,PRESTON NOURI,277
New Castle 4-2,2024,REPRESENTATIVE IN CONGRESS 16TH DISTRICT,WRITE-IN,SCATTERED,1
New Castle 4-2,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 9TH DISTRICT,REP,MARLA BROWN,508
New Castle 4-2,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 9TH DISTRICT,WRITE-IN,SCATTERED,25
New Castle 4-3,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,383
New Castle 4-3,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,311
